Class,Accuracy,Support
Lifan X50,0.0,3
Lifan X60,0.5416666666666666,24
Xingshun,0.8214285714285714,28
Lifan 320,0.44,25
Lorinser M Class,0.7857142857142857,28
Lorinser S Class,0.0,10
Lorinser C Class,0.0,6
Lorinser G Class,0.5,26
Lorinser E Class,0.25,8
Ghost,0.6,20
Wraith,0.4444444444444444,18
Phantom,0.35714285714285715,14
BAW BJ40,0.47368421052631576,19
BAW E Series sedan ,0.0,5
BAW C60,0.24,25
BAW C71,0.6,10
BAW B61,0.6896551724137931,29
BAW C30,1.0,13
BAW C90L,0.8571428571428571,21
BAW C51X,0.92,25
BAW T60,0.8823529411764706,17
concept500,0.6896551724137931,29
concept900,0.8,5
BAW B90,0.625,24
BAW C50E,0.125,8
BAW E Series hatchback,0.6666666666666666,30
BJ212,0.5,20
Luba,0.7272727272727273,11
Luling,0.7647058823529411,17
Qishi,0.7333333333333333,15
Ruiling,1.0,7
Yongshi,0.8888888888888888,18
Yusheng 007,0.6470588235294118,17
Yueling,0.2,5
Juedoushi,0.6666666666666666,30
Weiwang 205,0.16666666666666666,6
Weiwang 307,0.34615384615384615,26
Weiwang M20,0.2631578947368421,19
Weiwang 306,0.0,1
Huansu S2,0.6666666666666666,12
Huansu S3,0.75,28
BAW E150 EV,0.6666666666666666,3
Haijing,0.76,25
Haiyue,0.8333333333333334,12
Baolige,0.0,5
Shengdafei,0.4,5
Tekala,0.38461538461538464,26
Xinshengdafei,0.11764705882352941,17
Huatai B11,0.7,20
HORKI-1,0.43333333333333335,30
Carlsson C,0.6,15
CarlssonCS,0.3125,16
CarlssonCK,0.6428571428571429,28
CarlssonCML,0.47058823529411764,17
CarlssonCGL,1.0,6
Shuanghuan SCEO,0.7142857142857143,28
Nobel,0.0,7
Actyon,0.8,20
Rexton,0.125,8
Rexton W,0.72,25
Rodius,0.0,4
Kyron,0.5714285714285714,21
Chairman,0.5483870967741935,31
Ssang Yong XIV-2,0.0,3
Ssang Yong e-XIV,0.0,3
Ssang Yong SIV-1,0.6333333333333333,30
Ssang Yong XIV-1,0.5357142857142857,28
Ssang Yong XIV,0.8163265306122449,49
Korando,0.5294117647058824,17
Geely GC7,0.55,20
Geely GX2,0.41379310344827586,29
Geely GX7,0.7727272727272727,22
Geely SC3,0.3333333333333333,27
Geely SC5-RV,0.5185185185185185,27
Geely SC6,0.4375,32
Geely SC7,0.7916666666666666,24
Geely SX7,0.5652173913043478,23
Geely TX4,0.38461538461538464,13
King Kong CROSS,0.8181818181818182,22
King Kong hatchback,0.0,16
